two_theta,intensity
12.5,124.9
12.52,130.43
12.54,117.18
12.56,119.93
12.58,118.5
12.6,121.19
12.62,116.26
12.64,126.33
12.66,122.04
12.68,115.81
12.7,118.09
12.72,124.74
12.74,127.37
12.76,133.17
12.78,137.76
12.8,125.27
12.82,118.25
12.84,112.54
12.86,124.55
12.88,119.15
12.9,121.14
12.92,120.17
12.94,122.53
12.96,128.57
12.98,124.03
13,122.45
13.02,118.08
13.04,114.89
13.06,120.83
13.08,123
13.1,132.11
13.12,123.93
13.14,128.2
13.16,120.8
13.18,117.37
13.2,118.48
13.22,119.68
13.24,133.96
13.26,119.21
13.28,127.52
13.3,118.82
13.32,127.99
13.34,125.27
13.36,122.56
13.38,123.15
13.4,120.08
13.42,125.59
13.44,121.09
13.46,117.25
13.48,116.99
13.5,124.25
13.52,131.29
13.54,124.2
13.56,122.81
13.58,124.84
13.6,129.94
13.62,124.51
13.64,121.37
13.66,128.96
13.68,125.58
13.7,131.12
13.72,124.36
13.74,117.33
13.76,116.62
13.78,131.72
13.8,132.09
13.82,122.57
13.84,121.56
13.86,130.79
13.88,117.95
13.9,119.02
13.92,126.72
13.94,121.53
13.96,123.49
13.98,122.7
14,125.21
14.02,130.56
14.04,123.99
14.06,126.76
14.08,113.29
14.1,123.31
14.12,119.34
14.14,117.47
14.16,119.18
14.18,121.9
14.2,128.16
14.22,116.95
14.24,123.74
14.26,121.17
14.28,121.96
14.3,128.62
14.32,126.3
14.34,130.3
14.36,122.85
14.38,120.15
14.4,122.51
14.42,124.85
14.44,124.53
14.46,118.23
14.48,124.11
14.5,124.8
14.52,136.25
14.54,133.06
14.56,119.41
14.58,122.25
14.6,116.37
14.62,120.74
14.64,125.28
14.66,129.73
14.68,120.07
14.7,120.45
14.72,112.99
14.74,122.91
14.76,118.42
14.78,121.09
14.8,119.36
14.82,123.28
14.84,114.97
14.86,116.43
14.88,134.41
14.9,117.33
14.92,118.29
14.94,132.97
14.96,138.31
14.98,117.94
15,121.96
15.02,125.51
15.04,132.45
15.06,118.88
15.08,122.6
15.1,127.71
15.12,126.01
15.14,121.96
15.16,123.18
15.18,116.98
15.2,122.67
15.22,122.53
15.24,125.03
15.26,121.1
15.28,126.24
15.3,128.95
15.32,124.67
15.34,125.65
15.36,124.17
15.38,123.91
15.4,120.3
15.42,125.5
15.44,123.44
15.46,134.4
15.48,131.8
15.5,125.87
15.52,120.13
15.54,118.39
15.56,129.91
15.58,125.28
15.6,126.37
15.62,115.25
15.64,128.62
15.66,126.26
15.68,118.44
15.7,121.64
15.72,125.32
15.74,124.27
15.76,122.55
15.78,123.5
15.8,122.77
15.82,124.79
15.84,131.39
15.86,111.21
15.88,122.86
15.9,124.94
15.92,125.54
15.94,122.21
15.96,115.29
15.98,125.72
16,132.72
16.02,116.42
16.04,128.41
16.06,122.46
16.08,123.8
16.1,118.85
16.12,122.44
16.14,130.62
16.16,127.04
16.18,132.79
16.2,130.03
16.22,126.34
16.24,132.87
16.26,126.35
16.28,128.3
16.3,122.68
16.32,124.51
16.34,120.69
16.36,129.13
16.38,118.3
16.4,128.11
16.42,123.25
16.44,130.06
16.46,127.97
16.48,133.32
16.5,127.88
16.52,116.37
16.54,123.9
16.56,118.38
16.58,121.66
16.6,131.81
16.62,127.45
16.64,120.77
16.66,119.2
16.68,124.44
16.7,118.2
16.72,120.93
16.74,125.85
16.76,130.08
16.78,127.35
16.8,112.85
16.82,125.84
16.84,124.68
16.86,126.4
16.88,132.41
16.9,114.02
16.92,121.39
16.94,127.31
16.96,116.45
16.98,131.74
17,126.21
17.02,128.61
17.04,121.52
17.06,128.45
17.08,129.73
17.1,125.56
17.12,125.57
17.14,125.76
17.16,120.1
17.18,123.68
17.2,123.66
17.22,126.35
17.24,129.44
17.26,119.15
17.28,123.82
17.3,131.86
17.32,120.74
17.34,120.35
17.36,125.48
17.38,128.7
17.4,124.54
17.42,131.13
17.44,128.78
17.46,128.71
17.48,127.28
17.5,136.15
17.52,123.49
17.54,114.51
17.56,132.55
17.58,122.25
17.6,125.08
17.62,131.1
17.64,116.54
17.66,118.3
17.68,116.56
17.7,120.6
17.72,126.77
17.74,127.2
17.76,125.97
17.78,117.53
17.8,113.05
17.82,124.88
17.84,122.25
17.86,126.91
17.88,128.13
17.9,125.32
17.92,128.44
17.94,125.79
17.96,127.3
17.98,121.13
18,123.76
18.02,125.65
18.04,128.77
18.06,122.71
18.08,127.29
18.1,123.36
18.12,124.11
18.14,128.85
18.16,114.74
18.18,118.23
18.2,117.31
18.22,113.05
18.24,121.34
18.26,128.48
18.28,123.32
18.3,125.73
18.32,130.2
18.34,131.4
18.36,124.42
18.38,131.54
18.4,125.24
18.42,120.59
18.44,121.81
18.46,117.39
18.48,120.36
18.5,123.01
18.52,128.83
18.54,133.42
18.56,117.91
18.58,126.79
18.6,119.63
18.62,127.21
18.64,124.19
18.66,115.7
18.68,129.5
18.7,121.84
18.72,122.2
18.74,119.53
18.76,121.61
18.78,127.03
18.8,123.95
18.82,126.54
18.84,126.71
18.86,131.51
18.88,123.2
18.9,117.54
18.92,130.26
18.94,123.28
18.96,130.51
18.98,126.86
19,124.3
19.02,126.7
19.04,134.72
19.06,135.35
19.08,125.32
19.1,125.78
19.12,130.37
19.14,120.77
19.16,126.66
19.18,124.88
19.2,126.58
19.22,120.85
19.24,117.08
19.26,114.66
19.28,119.45
19.3,122.75
19.32,123.58
19.34,134.74
19.36,130.59
19.38,120.25
19.4,126.81
19.42,123.04
19.44,123.66
19.46,126.02
19.48,128.19
19.5,123.4
19.52,130.43
19.54,119.4
19.56,125.15
19.58,138.11
19.6,126.25
19.62,132.3
19.64,125.6
19.66,128.05
19.68,124.87
19.7,124.31
19.72,121.27
19.74,127.32
19.76,120.92
19.78,128.51
19.8,130.62
19.82,127.03
19.84,123.77
19.86,127.48
19.88,123.67
19.9,129.9
19.92,116.07
19.94,123.55
19.96,115.28
19.98,117.77
20,132.07
20.02,129.73
20.04,121.66
20.06,117.76
20.08,110.45
20.1,122.56
20.12,137.39
20.14,127.47
20.16,122.5
20.18,127.63
20.2,117.51
20.22,123.83
20.24,125.82
20.26,124.9
20.28,129.29
20.3,127.06
20.32,128.69
20.34,121.91
20.36,129.85
20.38,133.51
20.4,120.52
20.42,120.94
20.44,132.06
20.46,124.43
20.48,132.41
20.5,123.19
20.52,132.68
20.54,126.07
20.56,126.71
20.58,133.25
20.6,123.62
20.62,120.73
20.64,123.2
20.66,127.71
20.68,117.63
20.7,128.65
20.72,122.77
20.74,131.21
20.76,113.51
20.78,121.55
20.8,117.06
20.82,121.37
20.84,126.74
20.86,124.61
20.88,124.25
20.9,124.73
20.92,126.54
20.94,120.49
20.96,129.07
20.98,128.86
21,127.48
21.02,128.34
21.04,127.05
21.06,135.75
21.08,125.14
21.1,124.05
21.12,121.82
21.14,120.43
21.16,119.38
21.18,121.16
21.2,125.26
21.22,127.29
21.24,125.88
21.26,121.8
21.28,130.14
21.3,129.34
21.32,124.85
21.34,122.39
21.36,128.4
21.38,126.61
21.4,118.43
21.42,125.34
21.44,127
21.46,121.19
21.48,126.65
21.5,118.43
21.52,132.39
21.54,131.96
21.56,124.46
21.58,127.55
21.6,113.69
21.62,119.96
21.64,124.28
21.66,120.39
21.68,129.33
21.7,135.75
21.72,119.89
21.74,121.59
21.76,126.96
21.78,133.85
21.8,119.68
21.82,127.05
21.84,134.92
21.86,117.56
21.88,119.42
21.9,123.71
21.92,123.23
21.94,129.9
21.96,127.05
21.98,116.98
22,128.44
22.02,122.98
22.04,132.24
22.06,122.74
22.08,122.7
22.1,128.59
22.12,129.71
22.14,128.14
22.16,117.48
22.18,128.6
22.2,120.75
22.22,127.1
22.24,118.81
22.26,128.17
22.28,121.91
22.3,119.54
22.32,129.53
22.34,127.17
22.36,122.9
22.38,133.23
22.4,123.78
22.42,126.15
22.44,127.34
22.46,122.9
22.48,128.36
22.5,123.35
22.52,123.96
22.54,132.84
22.56,120.83
22.58,113.97
22.6,134.1
22.62,138.8
22.64,124.03
22.66,116.38
22.68,124.52
22.7,124.64
22.72,125.13
22.74,120.52
22.76,128.99
22.78,128.72
22.8,118.63
22.82,129.61
22.84,136.38
22.86,126.98
22.88,124.44
22.9,125.43
22.92,129.22
22.94,117.5
22.96,126.98
22.98,124.21
23,135.41
23.02,125.3
23.04,134.52
23.06,120.67
23.08,129.13
23.1,127.8
23.12,121.86
23.14,127.1
23.16,132.28
23.18,124.61
23.2,117.77
23.22,126.15
23.24,121.73
23.26,124.54
23.28,125.85
23.3,117.73
23.32,118.19
23.34,128.68
23.36,123.67
23.38,113.46
23.4,130.22
23.42,127.66
23.44,122.74
23.46,119.73
23.48,130.5
23.5,128.07
23.52,138.24
23.54,128.44
23.56,128.28
23.58,125.51
23.6,130.44
23.62,129.49
23.64,132.63
23.66,123.77
23.68,124.2
23.7,123.99
23.72,130.35
23.74,133.89
23.76,124.11
23.78,124.29
23.8,127.99
23.82,125.2
23.84,131.19
23.86,115.18
23.88,122.31
23.9,122.54
23.92,114.85
23.94,121.64
23.96,121.89
23.98,125.47
24,132.05
24.02,125.26
24.04,121.34
24.06,126.22
24.08,131.75
24.1,121.63
24.12,121.97
24.14,129.32
24.16,125.42
24.18,129.78
24.2,126.48
24.22,130.06
24.24,121.38
24.26,126.5
24.28,125.52
24.3,120.5
24.32,118.77
24.34,130.02
24.36,124.84
24.38,121.49
24.4,126.13
24.42,132.26
24.44,115.22
24.46,119.14
24.48,122.02
24.5,133.95
24.52,128.06
24.54,130.49
24.56,120.96
24.58,121.07
24.6,128.91
24.62,126.97
24.64,129.43
24.66,125.75
24.68,128.09
24.7,127.49
24.72,130.6
24.74,130.75
24.76,118.62
24.78,115.49
24.8,131.74
24.82,132.68
24.84,121.65
24.86,117.46
24.88,127.26
24.9,131.42
24.92,135.76
24.94,129.36
24.96,124.93
24.98,122.33
25,126.86
25.02,125.31
25.04,121.74
25.06,137.06
25.08,135.75
25.1,132.51
25.12,122.23
25.14,131.12
25.16,130.05
25.18,129.07
25.2,133.11
25.22,130.05
25.24,130.58
25.26,130.07
25.28,128.59
25.3,117.98
25.32,127.32
25.34,124.13
25.36,120.52
25.38,135.33
25.4,135.57
25.42,133.73
25.44,128.22
25.46,133.7
25.48,127.01
25.5,127.97
25.52,121.5
25.54,128.96
25.56,127.28
25.58,120.47
25.6,126.74
25.62,126.6
25.64,135.99
25.66,131.48
25.68,127.08
25.7,128.27
25.72,127.25
25.74,126.02
25.76,121.63
25.78,126.3
25.8,123.33
25.82,120.81
25.84,129.63
25.86,129.03
25.88,118.15
25.9,126.48
25.92,132.07
25.94,132.4
25.96,132.24
25.98,127.31
26,122.9
26.02,121.71
26.04,128.86
26.06,129.04
26.08,133.58
26.1,132.65
26.12,126.5
26.14,120.95
26.16,125.58
26.18,128.27
26.2,126.18
26.22,124.3
26.24,128.46
26.26,124.69
26.28,124.07
26.3,128.78
26.32,125.22
26.34,128.45
26.36,128.6
26.38,121.55
26.4,124.85
26.42,134.45
26.44,121.45
26.46,116.69
26.48,117.97
26.5,127.43
26.52,127.45
26.54,126.71
26.56,133.38
26.58,113.95
26.6,129.3
26.62,135.13
26.64,121.69
26.66,125.44
26.68,123.58
26.7,122.88
26.72,125.73
26.74,134.5
26.76,136.56
26.78,125.7
26.8,136.91
26.82,127.57
26.84,136.16
26.86,126.94
26.88,128.06
26.9,129.24
26.92,143.32
26.94,131.68
26.96,123.9
26.98,132.29
27,125.64
27.02,125.01
27.04,132
27.06,127.62
27.08,128.87
27.1,127.55
27.12,129.17
27.14,129.62
27.16,117.82
27.18,130.84
27.2,122.6
27.22,120.31
27.24,127.23
27.26,127.95
27.28,124.07
27.3,131.7
27.32,120.84
27.34,125.53
27.36,124.64
27.38,127.34
27.4,128.97
27.42,122.55
27.44,131.21
27.46,127.91
27.48,118.15
27.5,117.82
27.52,127.56
27.54,126.52
27.56,127.12
27.58,127.5
27.6,128.77
27.62,132.39
27.64,122.1
27.66,121.81
27.68,122.21
27.7,129.12
27.72,133.91
27.74,125.54
27.76,115.19
27.78,119.19
27.8,123.55
27.82,124.93
27.84,125.68
27.86,127.92
27.88,126.18
27.9,132.99
27.92,124.38
27.94,123.46
27.96,130.19
27.98,120.17
28,129.89
28.02,128.66
28.04,127.8
28.06,137.23
28.08,127.56
28.1,143.45
28.12,136.27
28.14,138.05
28.16,155.96
28.18,167.32
28.2,193.99
28.22,234.98
28.24,283.25
28.26,338.56
28.28,421.9
28.3,510.92
28.32,610.2
28.34,708.08
28.36,812.26
28.38,885.66
28.4,964.66
28.42,1007.75
28.44,1028.52
28.46,1009.24
28.48,965.44
28.5,904.51
28.52,804.65
28.54,707.57
28.56,601.93
28.58,505.6
28.6,417.1
28.62,344.04
28.64,286.44
28.66,241.38
28.68,199.46
28.7,175.82
28.72,150.05
28.74,144.19
28.76,142.31
28.78,137.7
28.8,131.97
28.82,133.97
28.84,131.26
28.86,134.43
28.88,129.69
28.9,126.38
28.92,129.8
28.94,113.45
28.96,130.02
28.98,109.87
29,119.5
29.02,130.38
29.04,130.51
29.06,122.32
29.08,124.58
29.1,135
29.12,125.73
29.14,139.37
29.16,128.16
29.18,130.21
29.2,136.26
29.22,128.84
29.24,123.18
29.26,127.65
29.28,128.03
29.3,121.39
29.32,126.94
29.34,124.52
29.36,132.86
29.38,128.41
29.4,126.83
29.42,127.72
29.44,129.38
29.46,131.35
29.48,123.28
29.5,123.07
29.52,133.81
29.54,126.23
29.56,121.22
29.58,130.53
29.6,130.63
29.62,120.67
29.64,129.48
29.66,132.01
29.68,130.21
29.7,131.51
29.72,121.33
29.74,130.02
29.76,126.86
29.78,125.96
29.8,132.73
29.82,135.79
29.84,137.37
29.86,134.98
29.88,127.86
29.9,130.18
29.92,132.26
29.94,129.04
29.96,129.09
29.98,132.56
30,128.15
30.02,124.81
30.04,126.39
30.06,131.64
30.08,128.49
30.1,130.19
30.12,131.84
30.14,126.62
30.16,132.29
30.18,130.41
30.2,122.34
30.22,135.74
30.24,126.03
30.26,120.26
30.28,123.32
30.3,123.45
30.32,128.82
30.34,127.2
30.36,126.89
30.38,131.68
30.4,130.29
30.42,130.17
30.44,130.65
30.46,131.69
30.48,118.07
30.5,126.8
30.52,117.73
30.54,128.81
30.56,128.62
30.58,133.88
30.6,134.59
30.62,129.68
30.64,126.17
30.66,131.1
30.68,126.04
30.7,128.68
30.72,133.63
30.74,125.91
30.76,132.74
30.78,132.1
30.8,123.95
30.82,133.6
30.84,132.23
30.86,129.25
30.88,124.94
30.9,124.46
30.92,126.08
30.94,131.48
30.96,124
30.98,130.97
31,122.58
31.02,127.78
31.04,129.35
31.06,141.04
31.08,121.93
31.1,136.19
31.12,129.58
31.14,130.9
31.16,129.44
31.18,131.08
31.2,128.09
31.22,136.14
31.24,126.59
31.26,134.54
31.28,125.67
31.3,128.59
31.32,123.54
31.34,131.18
31.36,136.14
31.38,128.54
31.4,127.95
31.42,123.36
31.44,127.8
31.46,120.99
31.48,124.39
31.5,130.1
31.52,135.57
31.54,143.02
31.56,126.05
31.58,136.17
31.6,130.22
31.62,128.25
31.64,131.18
31.66,129.33
31.68,129.58
31.7,126.99
31.72,122.05
31.74,121.33
31.76,132.32
31.78,127.68
31.8,126.09
31.82,129.12
31.84,133.06
31.86,129.99
31.88,125.82
31.9,135.23
31.92,137.01
31.94,131.59
31.96,133.99
31.98,135.34
32,134.79
32.02,132.22
32.04,132.14
32.06,131.76
32.08,123.68
32.1,132.68
32.12,122.4
32.14,125.21
32.16,135.71
32.18,133.4
32.2,136.64
32.22,127.86
32.24,123.46
32.26,128.03
32.28,129.75
32.3,129.64
32.32,134.92
32.34,127.45
32.36,131.02
32.38,124.33
32.4,131.53
32.42,129.3
32.44,125.54
32.46,128.12
32.48,128.38
32.5,127.96
32.52,138.18
32.54,128.83
32.56,128.11
32.58,118.85
32.6,124.88
32.62,128.04
32.64,125.93
32.66,136.28
32.68,128.55
32.7,135.82
32.72,129.7
32.74,129.58
32.76,128.96
32.78,129.43
32.8,138.01
32.82,117.83
32.84,119.42
32.86,126.72
32.88,129.52
32.9,132.9
32.92,131.83
32.94,127.55
32.96,134.57
32.98,134.63
33,130.41
33.02,134.31
33.04,130.87
33.06,126.7
33.08,133.01
33.1,130.08
33.12,129.54
33.14,136.9
33.16,117.29
33.18,122.46
33.2,123.62
33.22,127.75
33.24,128.3
33.26,122.04
33.28,124.66
33.3,125.29
33.32,141.89
33.34,138.62
33.36,127.56
33.38,127.8
33.4,123.88
33.42,120.1
33.44,129.06
33.46,124.66
33.48,129.23
33.5,121.66
33.52,125.86
33.54,130.42
33.56,131.52
33.58,131.78
33.6,123.1
33.62,133.98
33.64,125.71
33.66,132.89
33.68,129.68
33.7,122.85
33.72,128.16
33.74,131.58
33.76,132.82
33.78,129.06
33.8,137.43
33.82,134.82
33.84,128.5
33.86,133.54
33.88,139.47
33.9,139.61
33.92,123.67
33.94,125.19
33.96,137.25
33.98,124.54
34,123.23
34.02,127.42
34.04,131.96
34.06,129.35
34.08,126.62
34.1,126.51
34.12,126.32
34.14,125.49
34.16,141.31
34.18,131.39
34.2,134.35
34.22,127.48
34.24,129
34.26,126.37
34.28,116.68
34.3,123.06
34.32,120.9
34.34,118.71
34.36,123.99
34.38,136.6
34.4,129.76
34.42,136.44
34.44,132.05
34.46,133.92
34.48,125.51
34.5,132.64
34.52,133.67
34.54,127.15
34.56,132.84
34.58,132.88
34.6,127.31
34.62,124.45
34.64,124.15
34.66,130.51
34.68,131.72
34.7,126.13
34.72,130.23
34.74,132.96
34.76,133.2
34.78,137.88
34.8,136.51
34.82,125.13
34.84,138.56
34.86,127.49
34.88,135.38
34.9,130.5
34.92,128.11
34.94,121.14
34.96,129.33
34.98,122.4
35,135.04
35.02,137.79
35.04,126.23
35.06,131.73
35.08,126.6
35.1,127.09
35.12,134.12
35.14,130.06
35.16,138.96
35.18,127.85
35.2,135.27
35.22,130.77
35.24,134.27
35.26,128.06
35.28,130.05
35.3,129.73
35.32,126.14
35.34,133.63
35.36,133.58
35.38,133.3
35.4,138.03
35.42,137.6
35.44,128.48
35.46,132.23
35.48,127.26
35.5,130.5
35.52,127.39
35.54,138.5
35.56,132.22
35.58,129.32
35.6,136.38
35.62,119.57
35.64,120.36
35.66,134.42
35.68,130.75
35.7,131.71
35.72,123.83
35.74,130.35
35.76,140.49
35.78,134.6
35.8,131.34
35.82,128.3
35.84,128.53
35.86,119.87
35.88,131.81
35.9,134.75
35.92,122.65
35.94,127.23
35.96,124.76
35.98,125.73
36,130.83
36.02,120.15
36.04,133.65
36.06,134.35
36.08,129.34
36.1,118.19
36.12,125.62
36.14,136.78
36.16,116.73
36.18,128.89
36.2,124.73
36.22,134.67
36.24,127.27
36.26,132.68
36.28,133.49
36.3,139.85
36.32,129.66
36.34,132.57
36.36,123.27
36.38,136.65
36.4,126.91
36.42,127.91
36.44,130.61
36.46,122.92
36.48,131.88
36.5,135.58
36.52,132.22
36.54,122.81
36.56,130.15
36.58,134.48
36.6,121.39
36.62,125.41
36.64,135.18
36.66,132.15
36.68,132.87
36.7,140.12
36.72,133.17
36.74,134.12
36.76,144.39
36.78,129.78
36.8,126.87
36.82,133
36.84,133.06
36.86,128.24
36.88,125.72
36.9,142.44
36.92,132.53
36.94,127.24
36.96,135.49
36.98,130.37
37,129.66
37.02,133.75
37.04,124.48
37.06,132.71
37.08,140.52
37.1,133.3
37.12,129.09
37.14,128.44
37.16,128.94
37.18,129.72
37.2,129.11
37.22,135.59
37.24,122.35
37.26,135.33
37.28,129.13
37.3,132.92
37.32,125.41
37.34,137.7
37.36,137.29
37.38,135.87
37.4,123.5
37.42,135.23
37.44,133.11
37.46,123.07
37.48,130.98
37.5,132.94
37.52,133.9
37.54,132.01
37.56,132.59
37.58,138.51
37.6,137.28
37.62,116.82
37.64,129.58
37.66,130.35
37.68,122.42
37.7,131.66
37.72,137.44
37.74,125.77
37.76,132.89
37.78,126.64
37.8,127.86
37.82,138.62
37.84,128.53
37.86,133.56
37.88,121.9
37.9,140.57
37.92,134.28
37.94,130.36
37.96,134.16
37.98,124.24
38,137.21
38.02,129.69
38.04,130.29
38.06,128.86
38.08,128.42
38.1,134.81
38.12,132.62
38.14,134.61
38.16,131.31
38.18,133.93
38.2,129.28
38.22,142.53
38.24,123.55
38.26,137.7
38.28,138.24
38.3,127.15
38.32,142.56
38.34,136.4
38.36,136.29
38.38,131.58
38.4,130.36
38.42,130.41
38.44,133.41
38.46,138.48
38.48,132.38
38.5,126.93
38.52,135.61
38.54,136.11
38.56,134.78
38.58,135.24
38.6,130.17
38.62,126.88
38.64,127.2
38.66,123.37
38.68,132.74
38.7,131.14
38.72,129.37
38.74,116.8
38.76,125.35
38.78,137.19
38.8,128.27
38.82,133.41
38.84,124.66
38.86,138.81
38.88,130.91
38.9,133.08
38.92,143.27
38.94,139.23
38.96,130.12
38.98,128.7
39,130.04
39.02,134.23
39.04,131.16
39.06,129.72
39.08,139.04
39.1,131.14
39.12,143.22
39.14,132.18
39.16,140.66
39.18,133.53
39.2,136.56
39.22,128.13
39.24,127.49
39.26,134.07
39.28,136.72
39.3,131.99
39.32,125.36
39.34,125
39.36,124.67
39.38,122.98
39.4,132.37
39.42,137.46
39.44,131.77
39.46,120.54
39.48,130.9
39.5,131.05
39.52,142.35
39.54,124.59
39.56,129.93
39.58,140.42
39.6,134.15
39.62,134.72
39.64,132.49
39.66,133.57
39.68,135.82
39.7,127.89
39.72,136.33
39.74,125.09
39.76,133.6
39.78,132.86
39.8,128.89
39.82,131.87
39.84,128.88
39.86,126.64
39.88,130.24
39.9,126.49
39.92,133.63
39.94,126.28
39.96,135.59
39.98,126.14
40,129.22
40.02,128.93
40.04,138.69
40.06,133.72
40.08,131.02
40.1,134.58
40.12,121.56
40.14,131.89
40.16,142.1
40.18,132.78
40.2,132.47
40.22,134.87
40.24,136.62
40.26,122.16
40.28,123.74
40.3,133.22
40.32,128.6
40.34,138.74
40.36,130.61
40.38,122.52
40.4,125.86
40.42,118.46
40.44,131.05
40.46,131.28
40.48,130.11
40.5,137.63
40.52,138.24
40.54,131.4
40.56,121.59
40.58,135.36
40.6,135.06
40.62,133.83
40.64,137.2
40.66,126.48
40.68,142.35
40.7,127.52
40.72,136.07
40.74,123.9
40.76,127.69
40.78,139.93
40.8,131.05
40.82,136.56
40.84,133.56
40.86,131.85
40.88,139.21
40.9,131.21
40.92,123.5
40.94,128.39
40.96,135.17
40.98,134.4
41,124.6
41.02,128.82
41.04,129.54
41.06,130.63
41.08,125.58
41.1,129.33
41.12,128.84
41.14,136.34
41.16,136.54
41.18,131.77
41.2,130.55
41.22,133.22
41.24,128.44
41.26,126.8
41.28,127.84
41.3,129.37
41.32,126.74
41.34,133.37
41.36,136.22
41.38,124.64
41.4,132.71
41.42,131.49
41.44,134.31
41.46,132.54
41.48,125.35
41.5,126.31
41.52,132.78
41.54,137.78
41.56,121.58
41.58,134.38
41.6,138.61
41.62,131.91
41.64,135.43
41.66,129.17
41.68,132.1
41.7,124.6
41.72,120.99
41.74,137.43
41.76,127.8
41.78,130.46
41.8,125.81
41.82,125.7
41.84,131.89
41.86,129.12
41.88,134.66
41.9,135.04
41.92,134.39
41.94,133.99
41.96,140.69
41.98,127.47
42,132.54
42.02,138.49
42.04,139.16
42.06,125.73
42.08,131.29
42.1,139.65
42.12,135.4
42.14,133.85
42.16,131.79
42.18,130.97
42.2,134.34
42.22,131.64
42.24,132.7
42.26,133.31
42.28,129.54
42.3,135.6
42.32,147.51
42.34,124.07
42.36,134.58
42.38,129.16
42.4,135.86
42.42,133.21
42.44,136.8
42.46,138.87
42.48,133.97
42.5,138.67
42.52,121.3
42.54,140.98
42.56,134.91
42.58,138.43
42.6,126.95
42.62,128.91
42.64,133.8
42.66,132.99
42.68,134.5
42.7,138.51
42.72,124.27
42.74,137.98
42.76,133.16
42.78,132.1
42.8,125.77
42.82,135.65
42.84,121.07
42.86,136.4
42.88,125.7
42.9,133.44
42.92,132.58
42.94,139.03
42.96,132.3
42.98,129.73
43,130.67
43.02,139.58
43.04,135.91
43.06,131.3
43.08,132.06
43.1,125.41
43.12,135.2
43.14,124.46
43.16,137.03
43.18,133.92
43.2,145.22
43.22,127.79
43.24,132.79
43.26,142.3
43.28,139.27
43.3,129.84
43.32,134.45
43.34,133.35
43.36,134.76
43.38,129.86
43.4,132.92
43.42,125.38
43.44,134.06
43.46,135.64
43.48,132.26
43.5,125.33
43.52,138.36
43.54,135.24
43.56,129.8
43.58,132.03
43.6,125.94
43.62,128.32
43.64,130.77
43.66,139.61
43.68,130.28
43.7,136.68
43.72,130.8
43.74,134.74
43.76,132.8
43.78,137.88
43.8,130.85
43.82,125.67
43.84,126.63
43.86,130.89
43.88,127.31
43.9,135.61
43.92,131.24
43.94,145.45
43.96,124.9
43.98,134.61
44,127.96
44.02,131.14
44.04,134.32
44.06,122
44.08,134.82
44.1,143.16
44.12,131.38
44.14,134.96
44.16,138.79
44.18,132.85
44.2,130.78
44.22,122.31
44.24,136.9
44.26,133.14
44.28,128.65
44.3,134.35
44.32,130.81
44.34,131.09
44.36,136.78
44.38,127.06
44.4,139
44.42,126.78
44.44,130.46
44.46,143.4
44.48,139.43
44.5,134.29
44.52,129.11
44.54,131.17
44.56,134.19
44.58,134.02
44.6,133.39
44.62,133.69
44.64,132.78
44.66,126.65
44.68,131.29
44.7,138.45
44.72,127.05
44.74,132.95
44.76,129.81
44.78,134.47
44.8,131.98
44.82,141.32
44.84,136.47
44.86,127.39
44.88,137.31
44.9,130.09
44.92,131.08
44.94,135.55
44.96,131.53
44.98,138.46
45,130.13
45.02,130.91
45.04,130.73
45.06,131.2
45.08,139.53
45.1,137.18
45.12,142.6
45.14,145.39
